ID_ISIN,NAME,Date,ID,CHG_PCT_1D,PX_HIGH,PX_LOW,PX_OPEN,PX_VOLUME
GB00BYW0PQ60,LAND SECURITIES GROUP PLC,06/11/2019,LAND LN Equity,-0.9601,919.2,898.4,919.2,2167016
GB00BYW0PQ60,LAND SECURITIES GROUP PLC,07/11/2019,LAND LN Equity,-1.9167,912.4,890.2,910.6,2520283
GB00BYW0PQ60,LAND SECURITIES GROUP PLC,08/11/2019,LAND LN Equity,-0.9434,894.8,881.4,888.4,1746797
GB00BYW0PQ60,LAND SECURITIES GROUP PLC,11/11/2019,LAND LN Equity,1.1338,892.8,873,878.2,2157249
GB00BYW0PQ60,LAND SECURITIES GROUP PLC,12/11/2019,LAND LN Equity,0.3812,897,882.4,885.2,2670458
GB00BYW0PQ60,LAND SECURITIES GROUP PLC,13/11/2019,LAND LN Equity,-1.1615,891.8,871,871.6,2905951
GB00BYW0PQ60,LAND SECURITIES GROUP PLC,14/11/2019,LAND LN Equity,1.0847,897,883.8,886,238181
GB0005603997,LEGAL & GENERAL GROUP PLC,23/08/2019,LGEN LN Equity,0.5442,224.9,221.5,222.4,15923137
GB0005603997,LEGAL & GENERAL GROUP PLC,26/08/2019,LGEN LN Equity,0.5442,224.9,221.5,222.4,15923137
GB0005603997,LEGAL & GENERAL GROUP PLC,27/08/2019,LGEN LN Equity,-0.9021,221.8,218.6,221.1,22655670
GB0005603997,LEGAL & GENERAL GROUP PLC,28/08/2019,LGEN LN Equity,-1.3655,219.3,214.9,218.6,17197002
GB0005603997,LEGAL & GENERAL GROUP PLC,29/08/2019,LGEN LN Equity,0.8768,218.8,215.9,216.4,10467528
GB0005603997,LEGAL & GENERAL GROUP PLC,30/08/2019,LGEN LN Equity,0.4575,221.7,218.7,219.2,14627723
GB0005603997,LEGAL & GENERAL GROUP PLC,02/09/2019,LGEN LN Equity,1.776,223.9,218.8,219.3,11904103
GB0005603997,LEGAL & GENERAL GROUP PLC,03/09/2019,LGEN LN Equity,-1.4765,223.9,219.5,223.9,13810923
GB0005603997,LEGAL & GENERAL GROUP PLC,04/09/2019,LGEN LN Equity,1.8165,225.4,222.5,222.6,12703236
GB0005603997,LEGAL & GENERAL GROUP PLC,05/09/2019,LGEN LN Equity,3.5682,232.3,225.8,226.9,20901136
GB0005603997,LEGAL & GENERAL GROUP PLC,06/09/2019,LGEN LN Equity,-0.0431,232.8,230.8,232.3,16819594
GB0005603997,LEGAL & GENERAL GROUP PLC,09/09/2019,LGEN LN Equity,1.8526,236.4,232.1,232.9,34790296
GB0005603997,LEGAL & GENERAL GROUP PLC,10/09/2019,LGEN LN Equity,3.088,243.9,235.5,235.5,20997725
GB0005603997,LEGAL & GENERAL GROUP PLC,11/09/2019,LGEN LN Equity,1.5593,250,244.5,245.4,23330108
GB0005603997,LEGAL & GENERAL GROUP PLC,12/09/2019,LGEN LN Equity,-0.1212,249.2,243.4,248.4,17120586
GB0005603997,LEGAL & GENERAL GROUP PLC,13/09/2019,LGEN LN Equity,3.4385,256.2,247.7,247.8,18262878
GB0005603997,LEGAL & GENERAL GROUP PLC,16/09/2019,LGEN LN Equity,-1.1341,253.9,250.2,253.1,18022309
GB0005603997,LEGAL & GENERAL GROUP PLC,17/09/2019,LGEN LN Equity,-2.769,252.2,244.9,251.6,18585138
GB0005603997,LEGAL & GENERAL GROUP PLC,18/09/2019,LGEN LN Equity,-0.6916,247.4,243.4,245.4,17785994
GB0005603997,LEGAL & GENERAL GROUP PLC,19/09/2019,LGEN LN Equity,1.0651,247.7,243.1,245.3,13158960
GB0005603997,LEGAL & GENERAL GROUP PLC,20/09/2019,LGEN LN Equity,2.4726,253,246.7,246.7,30446860
GB0005603997,LEGAL & GENERAL GROUP PLC,23/09/2019,LGEN LN Equity,-0.8703,252.2,246.9,251.2,11121492
GB0005603997,LEGAL & GENERAL GROUP PLC,24/09/2019,LGEN LN Equity,-1.9154,252.5,244.9,252,12350991
GB0005603997,LEGAL & GENERAL GROUP PLC,25/09/2019,LGEN LN Equity,-0.3662,244.9,238.6,243.5,15949886
GB0005603997,LEGAL & GENERAL GROUP PLC,26/09/2019,LGEN LN Equity,0.6942,249.2,244.5,245.4,15400434
GB0005603997,LEGAL & GENERAL GROUP PLC,27/09/2019,LGEN LN Equity,1.2976,250.6,247,247.7,11017364
GB0005603997,LEGAL & GENERAL GROUP PLC,30/09/2019,LGEN LN Equity,-0.5604,251.1,248.4,250,19615608
GB0005603997,LEGAL & GENERAL GROUP PLC,01/10/2019,LGEN LN Equity,-1.3285,250.9,244.7,249.6,12252377
GB0005603997,LEGAL & GENERAL GROUP PLC,02/10/2019,LGEN LN Equity,-3.264,243.9,236.4,243.4,20839855
GB0005603997,LEGAL & GENERAL GROUP PLC,03/10/2019,LGEN LN Equity,-0.5905,236.4,231.8,235.3,13486371
GB0005603997,LEGAL & GENERAL GROUP PLC,04/10/2019,LGEN LN Equity,0.8485,238.2,233.3,236.2,10982285
GB0005603997,LEGAL & GENERAL GROUP PLC,07/10/2019,LGEN LN Equity,0.5048,239.5,235,238.4,11188293
GB0005603997,LEGAL & GENERAL GROUP PLC,08/10/2019,LGEN LN Equity,-2.5952,239.8,232,239.4,15578047
GB0005603997,LEGAL & GENERAL GROUP PLC,09/10/2019,LGEN LN Equity,0.3868,237.2,233.3,233.9,13751974
GB0005603997,LEGAL & GENERAL GROUP PLC,10/10/2019,LGEN LN Equity,3.1678,241.1,234.2,234.8,15442576
GB0005603997,LEGAL & GENERAL GROUP PLC,11/10/2019,LGEN LN Equity,8.2158,263.1,242.5,245.8,36169415
GB0005603997,LEGAL & GENERAL GROUP PLC,14/10/2019,LGEN LN Equity,-0.4601,260.5,253.8,260,18035955
GB0005603997,LEGAL & GENERAL GROUP PLC,15/10/2019,LGEN LN Equity,3.1587,270.2,260.4,262.6,29454157
GB0005603997,LEGAL & GENERAL GROUP PLC,16/10/2019,LGEN LN Equity,-0.0373,273.4,261.4,266.7,26865268
GB0005603997,LEGAL & GENERAL GROUP PLC,17/10/2019,LGEN LN Equity,2.7269,277.1,265.1,266,31602420
GB0005603997,LEGAL & GENERAL GROUP PLC,18/10/2019,LGEN LN Equity,0.1455,277.2,271.2,273.3,20872961
GB0005603997,LEGAL & GENERAL GROUP PLC,21/10/2019,LGEN LN Equity,-0.3631,280.5,272.9,277.5,18086780
GB0005603997,LEGAL & GENERAL GROUP PLC,22/10/2019,LGEN LN Equity,-1.5306,276.6,268.6,274.4,20015969
GB0005603997,LEGAL & GENERAL GROUP PLC,23/10/2019,LGEN LN Equity,0.2221,271.7,264.4,267.6,16378957
GB0005603997,LEGAL & GENERAL GROUP PLC,24/10/2019,LGEN LN Equity,0.7016,274.5,270.9,271,14012859
GB0005603997,LEGAL & GENERAL GROUP PLC,25/10/2019,LGEN LN Equity,-0.8801,274.4,268.3,273.1,11452230
GB0005603997,LEGAL & GENERAL GROUP PLC,28/10/2019,LGEN LN Equity,0.7769,272.8,269.3,271.4,7783199
GB0005603997,LEGAL & GENERAL GROUP PLC,29/10/2019,LGEN LN Equity,-1.4317,272.8,267.7,271.1,14466332
GB0005603997,LEGAL & GENERAL GROUP PLC,30/10/2019,LGEN LN Equity,-2.0484,269.5,260.4,268.5,15942282
GB0005603997,LEGAL & GENERAL GROUP PLC,31/10/2019,LGEN LN Equity,0.2662,264.2,260.3,264,12067572
GB0005603997,LEGAL & GENERAL GROUP PLC,01/11/2019,LGEN LN Equity,0.8343,266.2,263.4,264.4,10366789
GB0005603997,LEGAL & GENERAL GROUP PLC,04/11/2019,LGEN LN Equity,0.865,270.5,267.3,267.9,9140571
GB0005603997,LEGAL & GENERAL GROUP PLC,05/11/2019,LGEN LN Equity,0.8949,271,267.8,269.5,11283588
GB0005603997,LEGAL & GENERAL GROUP PLC,06/11/2019,LGEN LN Equity,0.4804,273.3,269.2,271,14295807
GB0005603997,LEGAL & GENERAL GROUP PLC,07/11/2019,LGEN LN Equity,0.5517,275.8,270.1,272.4,13027297
GB0005603997,LEGAL & GENERAL GROUP PLC,08/11/2019,LGEN LN Equity,-1.4631,272.6,267.7,271.2,10189391
GB0005603997,LEGAL & GENERAL GROUP PLC,11/11/2019,LGEN LN Equity,0.9651,272.5,264.6,268.2,10813294
GB0005603997,LEGAL & GENERAL GROUP PLC,12/11/2019,LGEN LN Equity,1.25,275.5,270.4,271.7,9665517
GB0005603997,LEGAL & GENERAL GROUP PLC,13/11/2019,LGEN LN Equity,-1.4524,274,268.5,273.6,9342871
GB0005603997,LEGAL & GENERAL GROUP PLC,14/11/2019,LGEN LN Equity,0.1105,272.8,269.5,271.9,897292
GB0008706128,LLOYDS BANKING GROUP PLC,23/08/2019,LLOY LN Equity,0.5734,50.35,49.73,49.89,183504416
GB0008706128,LLOYDS BANKING GROUP PLC,26/08/2019,LLOY LN Equity,0.5734,50.35,49.73,49.89,183504416
GB0008706128,LLOYDS BANKING GROUP PLC,27/08/2019,LLOY LN Equity,-0.4601,50.17,49.365,49.59,185529622
